지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
가평,2023,1,2023-01,1,경기도,가평군,아침고요수목원,5517,가평 2023_01.csv,문화관광,테마공원
가평,2023,1,2023-01,2,경기도,가평군,청평역,4747,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,3,경기도,가평군,남이섬선착장,4062,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,4,경기도,가평군,가평사계절썰매장,3895,가평 2023_01.csv,레저스포츠,육상레저스포츠
가평,2023,1,2023-01,5,경기도,가평군,쁘띠프랑스,2846,가평 2023_01.csv,문화관광,복합관광시설
가평,2023,1,2023-01,6,경기도,가평군,대성리역,2786,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,7,경기도,가평군,현리시외버스터미널,2290,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,8,경기도,가평군,자라섬,1818,가평 2023_01.csv,자연관광,자연경관(하천/해양)
가평,2023,1,2023-01,9,경기도,가평군,유명산자연휴양림,1388,가평 2023_01.csv,자연관광,자연공원
가평,2023,1,2023-01,10,경기도,가평군,가평시외버스터미널,1242,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,11,경기도,가평군,어비계곡,1226,가평 2023_01.csv,자연관광,자연경관(산)
가평,2023,1,2023-01,12,경기도,가평군,청평시외버스터미널,1186,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,13,경기도,가평군,에델바이스스위스테마파크,1036,가평 2023_01.csv,문화관광,테마공원
가평,2023,1,2023-01,14,경기도,가평군,아침고요가족동물원,866,가평 2023_01.csv,문화관광,테마공원
가평,2023,1,2023-01,15,경기도,가평군,아난티코드골프클럽,838,가평 2023_01.csv,레저스포츠,육상레저스포츠
가평,2023,1,2023-01,16,경기도,가평군,K26잠수풀,807,가평 2023_01.csv,레저스포츠,수상레저스포츠
가평,2023,1,2023-01,17,경기도,가평군,청평호반드라이브코스,549,가평 2023_01.csv,기타관광,데이트코스
가평,2023,1,2023-01,18,경기도,가평군,상천역,541,가평 2023_01.csv,기타관광,교통시설
가평,2023,1,2023-01,19,경기도,가평군,한국초콜릿연구소뮤지엄,508,가평 2023_01.csv,문화관광,전시시설
가평,2023,1,2023-01,20,경기도,가평군,경기도잣향기푸른숲,488,가평 2023_01.csv,자연관광,자연공원
