addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 의정부시 가능동,15-28,31.0,A02,A0202,A02020700,3482667,12,20250318170121,http://tong.visitkorea.or.kr/cms/resource/68/3482668_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3482668_image3_1.jpg,Type3,127.0455151412,37.7533531645,6.0,20250318170732,25.0,,가금철교 문화공원,11685,41,150.0,VE,VE03,VE030400
경기도 양주시 장흥면 권율로 117,,31.0,A02,A0202,A02020600,129194,12,20060807090000,http://tong.visitkorea.or.kr/cms/resource/83/3559483_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3559483_image3_1.jpg,Type1,126.9491636401,37.7250130611,6.0,20251030173026,18.0,,가나아트파크,11520,41,630.0,VE,VE02,VE020100
경기도 고양시 덕양구 행주로15번길 16,,31.0,A05,A0502,A05020100,2894914,39,20221103152309,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image3_1.jpg,Type3,126.8278865647,37.6009169989,6.0,20250418143546,2.0,,가나안국수,10440,41,281.0,FD,FD01,FD010100
경기도 고양시 일산동구 애니골길 54 (풍동),,31.0,A05,A0502,A05020100,2831563,39,20220803105028,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image3_1.JPG,Type3,126.7921100429,37.6721941761,6.0,20250421133912,2.0,,가나안장어마을,10301,41,285.0,FD,FD01,FD010100
경기도 가평군 북면 목동리,산 1-1,31.0,A01,A0101,A01010400,125462,12,20030331090000,http://tong.visitkorea.or.kr/cms/resource/24/1900124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1900124_image3_1.jpg,Type3,127.6121190936,37.9405556371,6.0,20251120135219,1.0,,가덕산,12403,41,820.0,,NA01,NA010100
경기도 파주시 탄현면 헤이리마을길 59-52,,31.0,A05,A0502,A05020900,2846052,39,20220830150043,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2846027_image3_1.JPG,Type3,126.6961266153,37.7897037711,6.0,20250728112948,27.0,,가드너스,10859,41,480.0,FD,FD05,FD050100
경기도 구리시 동구릉로460번길 114 (사노동),,31.0,A05,A0502,A05020900,2901496,39,20221108134213,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2901491_image3_1.jpg,Type3,127.1445094162,37.6379322725,6.0,20250430105211,6.0,,가드니아 제빵소 본점,11906,41,310.0,FD,FD03,FD030100
경기도 남양주시 강변북로632번길 57-28 (수석동),,,,,,798518,39,20090907191546,https://tong.visitkorea.or.kr/cms/resource/99/3568799_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/99/3568799_image3_1.jpg,Type3,127.17413422606715,37.58774484472282,6.0,20260417133837,,,가든갤러리,12268,41,360.0,FD,FD02,FD020300
경기도 파주시 소라지로327번길 126-21,(송촌동),31.0,B02,B0201,B02011600,2627867,32,20191021220426,,,,126.689194904,37.7547493903,,20241126104303,27.0,,가람나무,10863,41,480.0,AC,AC03,AC030200
경기도 남양주시 화도읍 북한강로1570번길 16,,,,,,3045767,28,20231122100649,https://tong.visitkorea.or.kr/cms/resource/53/3045753_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/53/3045753_image3_1.JPG,Type3,127.36800164257528,37.64767052809853,6.0,20260408150146,,,가람수상스키,12193,41,360.0,LS,LS02,LS021400
경기도 포천시 창수면 포천로2811번길 178,,31.0,A03,A0302,A03021700,2726655,28,20210722181010,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2726922_image3_1.jpg,Type3,127.1571618898,37.9931883432,6.0,20250805131336,29.0,,가래골농원캠핑장,11134,41,650.0,AC,AC05,AC050100
경기도 양주시 광적면 가납리 738-29,,31.0,A04,A0401,A04010200,2748296,38,20210924015015,http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2748271_image2_1.jpg,Type3,126.9841492836,37.8238327341,6.0,20250620113641,18.0,,가래비시장(가납시장),,41,630.0,SH,SH06,SH060200
경기도 포천시 이동면 도평리,,31.0,A01,A0101,A01010400,125463,12,20030725090000,,,,127.4080179724,38.0450563404,6.0,20251204161652,29.0,,가리산(포천),11110,41,650.0,,NA01,NA010100
경기도 파주시 탄현면 새오리로 68,,31.0,A05,A0502,A05020100,2832447,39,20220804113402,http://tong.visitkorea.or.kr/cms/resource/46/2832446_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2832446_image3_1.jpg,Type3,126.6858608619,37.7906479225,6.0,20250725135942,27.0,,가림시골밥상,10858,41,480.0,FD,FD01,FD010100
경기도 양주시 장흥면 북한산로 1028,,31.0,A05,A0502,A05020100,2525533,39,20171226190132,,,,126.971289723,37.7135870113,6.0,20251110172223,18.0,,가마골백숙,11523,41,630.0,FD,FD01,FD010100
경기도 양주시 장흥면 권율로 265-30,,31.0,A05,A0502,A05020900,2855482,39,20220919164725,http://tong.visitkorea.or.kr/cms/resource/69/2855469_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2855469_image3_1.jpg,Type3,126.9518630226,37.7380227058,6.0,20250623112030,18.0,,가배,11519,41,630.0,FD,FD05,FD050100
경기도 포천시 산정호수로 849-130,,31.0,A05,A0502,A05020900,2922967,39,20221128093944,http://tong.visitkorea.or.kr/cms/resource/59/2922959_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2922959_image3_1.jpg,Type3,127.320463994,38.0747984765,6.0,20250117104307,29.0,,가비가배,11103,41,650.0,FD,FD05,FD050100
경기도 포천시 가산면 우금길 13-32,,31.0,A03,A0303,A03030500,2752670,28,20211005184038,http://tong.visitkorea.or.kr/cms/resource/15/2752815_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2752815_image2_1.jpg,Type3,127.2126089189,37.8253839198,6.0,20250819092635,29.0,,가산낚시터 (구 우금저수지),11166,41,650.0,LS,LS02,LS020500
경기도 고양시 일산서구 호수로856번길 8-9 (대화동),,31.0,A05,A0502,A05020100,2891928,39,20221031162731,http://tong.visitkorea.or.kr/cms/resource/13/2891913_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2891913_image3_1.jpg,Type3,126.748641831,37.6708852204,6.0,20250423132516,2.0,,가야밀면돼지국밥 일산본점,10383,41,287.0,FD,FD01,FD010100
경기도 파주시 적성면 감악산로 1473,,31.0,A05,A0502,A05020100,2875310,39,20221026095144,http://tong.visitkorea.or.kr/cms/resource/98/2875298_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2875298_image3_1.jpg,Type3,126.9207117917,37.9772303573,6.0,20250729111937,27.0,,가월리손두부,10802,41,480.0,FD,FD01,FD010100
경기도 남양주시 수동면 비룡로 1603,,31.0,A03,A0302,A03021700,2738718,28,20210901200909,http://tong.visitkorea.or.kr/cms/resource/41/2739041_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/2739041_image3_1.JPG,Type3,127.2736720245,37.7559681143,6.0,20250513155541,9.0,,가족쉼터,12024,41,360.0,AC,AC05,AC050100
경기도 고양시 일산동구 경의로 459-112 (정발산동),,31.0,A05,A0502,A05020300,2874859,39,20221025143419,http://tong.visitkorea.or.kr/cms/resource/57/2874857_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2874857_image3_1.jpg,Type3,126.7857412479,37.6698221165,6.0,20250422150400,2.0,,가츠잇,10406,41,285.0,FD,FD02,FD020200
경기도 가평군 북면 꽃넘이길 115-82,가둘기정원,,B02,B0201,B02010700,3102216,32,20240217153116,,,,127.5163456797,37.9003946501,6.0,20240731101125,,,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션,12405,41,820.0,AC,AC03,AC030100
경기도 가평군 장수로 156-20,,31.0,A03,A0302,A03021700,2909629,28,20221116103726,http://tong.visitkorea.or.kr/cms/resource/17/2909617_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/17/2909617_image3_1.JPG,Type3,127.5086546484,37.6176301595,6.0,20250410150900,1.0,,가평 네잎클로버 카라반 글램핑,12471,41,820.0,AC,AC05,AC050100
경기도 가평군 가평읍 장터길 14,,31.0,A03,A0302,A03022700,2361081,28,20160113005508,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3096245_image3_1.jpg,Type1,127.5158755988,37.8290223933,6.0,20251023144737,1.0,,가평 레일바이크,12419,41,820.0,LS,LS01,LS011900
경기도 가평군 상면 물골길 120,,31.0,A03,A0302,A03021700,2763412,28,20211027185741,http://tong.visitkorea.or.kr/cms/resource/30/2763630_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2763630_image2_1.JPG,Type3,127.3143381914,37.8368094476,6.0,20250327112608,1.0,,가평 물골숲 계곡 캠핑장,12440,41,820.0,AC,AC05,AC050100
경기도 가평군 상면 한사간길 85-107,,31.0,A03,A0302,A03021700,2752045,28,20210930234246,http://tong.visitkorea.or.kr/cms/resource/69/2752069_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/2752069_image3_1.JPG,Type3,127.3584688745,37.7895490907,6.0,20250411184618,1.0,,가평 사과나무 캠핑장,12445,41,820.0,AC,AC05,AC050100
경기도 가평군 가평읍 용추로 238,,31.0,A02,A0203,A02030100,630461,12,20081001023346,http://tong.visitkorea.or.kr/cms/resource/21/3346921_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/3346921_image3_1.jpg,Type3,127.4877442849,37.8475697154,6.0,20250315122025,1.0,,가평 아홉마지기마을,12408,41,820.0,EX,EX03,EX030100
경기도 가평군 북면 백둔로 417-11,,31.0,A02,A0203,A02030100,129285,12,20061031090000,http://tong.visitkorea.or.kr/cms/resource/82/3475682_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/3475682_image3_1.JPG,Type3,127.4626644345,37.9014296489,6.0,20250409135746,1.0,,가평 연인산마을,12406,41,820.0,EX,EX03,EX030100
경기도 가평군 상면 연하리,226,31.0,A01,A0102,A01020100,1200950,12,20110210213947,http://tong.visitkorea.or.kr/cms/resource/41/3549541_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3549541_image3_1.jpg,Type3,127.348216767,37.7986533985,6.0,20251023143000,1.0,,가평 연하리향나무,12444,41,820.0,,NA03,NA030200
경기도 가평군 상면 축령로 70,,31.0,A02,A0203,A02030100,129407,12,20061213090000,http://tong.visitkorea.or.kr/cms/resource/27/3386227_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/3386227_image3_1.JPG,Type3,127.3645382139,37.7741593259,6.0,20250318190819,1.0,,가평 영양잣마을,12448,41,820.0,EX,EX03,EX030300
