지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
구리,2023,1,2023-01,1,경기도,구리시,구리농수산물도매시장,28465,구리 2023_01.csv,쇼핑,시장
구리,2023,1,2023-01,2,경기도,구리시,롯데백화점구리점,12418,구리 2023_01.csv,쇼핑,백화점
구리,2023,1,2023-01,3,경기도,구리시,구리전통시장,5447,구리 2023_01.csv,쇼핑,시장
구리,2023,1,2023-01,4,경기도,구리시,모다아울렛구리남양주점,4540,구리 2023_01.csv,쇼핑,쇼핑몰
구리,2023,1,2023-01,5,경기도,구리시,롯데아울렛구리점,4009,구리 2023_01.csv,쇼핑,쇼핑몰
구리,2023,1,2023-01,6,경기도,구리시,구리한강시민공원,2633,구리 2023_01.csv,문화관광,도시공원
구리,2023,1,2023-01,7,경기도,구리시,구리농수산물도매시장수산2동,2508,구리 2023_01.csv,쇼핑,시장
구리,2023,1,2023-01,8,경기도,구리시,동구릉,1897,구리 2023_01.csv,역사관광,역사유적지
구리,2023,1,2023-01,9,경기도,구리시,구리타워,1653,구리 2023_01.csv,문화관광,랜드마크관광
구리,2023,1,2023-01,10,경기도,구리시,롯데시네마구리아울렛,1306,구리 2023_01.csv,문화관광,공연시설
구리,2023,1,2023-01,11,경기도,구리시,고구려대장간마을,963,구리 2023_01.csv,문화관광,기타문화관광지
구리,2023,1,2023-01,12,경기도,구리시,구리왕숙체육공원,862,구리 2023_01.csv,문화관광,도시공원
구리,2023,1,2023-01,13,경기도,구리시,구리청과물도매시장,797,구리 2023_01.csv,쇼핑,시장
구리,2023,1,2023-01,14,경기도,구리시,CGV구리,764,구리 2023_01.csv,문화관광,공연시설
구리,2023,1,2023-01,15,경기도,구리시,구리농수산물도매시장수산동,564,구리 2023_01.csv,쇼핑,시장
구리,2023,1,2023-01,16,경기도,구리시,장자호수생태공원,559,구리 2023_01.csv,문화관광,도시공원
구리,2023,1,2023-01,17,경기도,구리시,구리시체육회축구장,478,구리 2023_01.csv,문화관광,레저스포츠시설
구리,2023,1,2023-01,18,경기도,구리시,구리어린이천문대,443,구리 2023_01.csv,기타관광,기타관광
구리,2023,1,2023-01,19,경기도,구리시,렛츠런CCC구리지점,416,구리 2023_01.csv,레저스포츠,육상레저스포츠
