지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
남양주,2023,1,2023-01,1,경기도,남양주시,현대프리미엄아울렛스페이스원,70651,남양주 2023_01.csv,쇼핑,쇼핑몰
남양주,2023,1,2023-01,2,경기도,남양주시,평내호평역,12308,남양주 2023_01.csv,기타관광,교통시설
남양주,2023,1,2023-01,3,경기도,남양주시,퇴계원역,11556,남양주 2023_01.csv,기타관광,교통시설
남양주,2023,1,2023-01,4,경기도,남양주시,덕소역,10961,남양주 2023_01.csv,기타관광,교통시설
남양주,2023,1,2023-01,5,경기도,남양주시,마석역,8737,남양주 2023_01.csv,기타관광,교통시설
남양주,2023,1,2023-01,6,경기도,남양주시,다산현대프리미어캠퍼스몰,8204,남양주 2023_01.csv,쇼핑,쇼핑몰
남양주,2023,1,2023-01,7,경기도,남양주시,봉선사,3992,남양주 2023_01.csv,역사관광,종교성지
남양주,2023,1,2023-01,8,경기도,남양주시,CGV다산,3490,남양주 2023_01.csv,문화관광,공연시설
남양주,2023,1,2023-01,9,경기도,남양주시,메가박스남양주현대아울렛스페이스원,3098,남양주 2023_01.csv,문화관광,공연시설
남양주,2023,1,2023-01,10,경기도,남양주시,롯데시네마별내,2371,남양주 2023_01.csv,문화관광,공연시설
남양주,2023,1,2023-01,11,경기도,남양주시,물의정원,2320,남양주 2023_01.csv,문화관광,도시공원
남양주,2023,1,2023-01,12,경기도,남양주시,롯데시네마진접,2000,남양주 2023_01.csv,문화관광,공연시설
남양주,2023,1,2023-01,13,경기도,남양주시,다산정약용유적지,1902,남양주 2023_01.csv,역사관광,역사유적지
남양주,2023,1,2023-01,14,경기도,남양주시,수종사,1842,남양주 2023_01.csv,역사관광,종교성지
남양주,2023,1,2023-01,15,경기도,남양주시,스파디움24,1554,남양주 2023_01.csv,체험관광,웰니스관광
남양주,2023,1,2023-01,16,경기도,남양주시,불암사,1550,남양주 2023_01.csv,역사관광,종교성지
남양주,2023,1,2023-01,17,경기도,남양주시,오남저수지,1500,남양주 2023_01.csv,자연관광,자연경관(하천/해양)
남양주,2023,1,2023-01,18,경기도,남양주시,남양주별내빙상장,1349,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,19,경기도,남양주시,메가박스남양주,1286,남양주 2023_01.csv,문화관광,공연시설
남양주,2023,1,2023-01,20,경기도,남양주시,남양주한강공원삼패지구,1168,남양주 2023_01.csv,문화관광,도시공원
남양주,2023,1,2023-01,21,경기도,남양주시,메가박스별내,1046,남양주 2023_01.csv,문화관광,공연시설
남양주,2023,1,2023-01,22,경기도,남양주시,뽀로로테마파크다산위드트래블,994,남양주 2023_01.csv,문화관광,테마공원
남양주,2023,1,2023-01,23,경기도,남양주시,도농역,962,남양주 2023_01.csv,기타관광,교통시설
남양주,2023,1,2023-01,24,경기도,남양주시,오즈빌리지,927,남양주 2023_01.csv,문화관광,테마공원
남양주,2023,1,2023-01,25,경기도,남양주시,축령산자연휴양림,871,남양주 2023_01.csv,자연관광,자연공원
남양주,2023,1,2023-01,26,경기도,남양주시,산들소리수목원,785,남양주 2023_01.csv,문화관광,테마공원
남양주,2023,1,2023-01,27,경기도,남양주시,다산생태공원,756,남양주 2023_01.csv,문화관광,도시공원
남양주,2023,1,2023-01,28,경기도,남양주시,화도낚시공원,750,남양주 2023_01.csv,레저스포츠,수상레저스포츠
남양주,2023,1,2023-01,29,경기도,남양주시,남양주CC,743,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,30,경기도,남양주시,꼬꼬마마,734,남양주 2023_01.csv,문화관광,테마공원
남양주,2023,1,2023-01,31,경기도,남양주시,능내역폐역,711,남양주 2023_01.csv,기타관광,교통시설
남양주,2023,1,2023-01,32,경기도,남양주시,에코랜드야구장,674,남양주 2023_01.csv,문화관광,레저스포츠시설
남양주,2023,1,2023-01,33,경기도,남양주시,오남체육문화센터,660,남양주 2023_01.csv,레저스포츠,기타레저스포츠
남양주,2023,1,2023-01,34,경기도,남양주시,미호박물관,600,남양주 2023_01.csv,문화관광,전시시설
남양주,2023,1,2023-01,35,경기도,남양주시,한림광릉CC,598,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,36,경기도,남양주시,다산체육공원축구장,554,남양주 2023_01.csv,문화관광,레저스포츠시설
남양주,2023,1,2023-01,37,경기도,남양주시,덕소자연사박물관,553,남양주 2023_01.csv,문화관광,전시시설
남양주,2023,1,2023-01,38,경기도,남양주시,다산정약용생가,532,남양주 2023_01.csv,역사관광,역사유적지
남양주,2023,1,2023-01,39,경기도,남양주시,남양주종합촬영소(휴관),524,남양주 2023_01.csv,문화관광,기타문화관광지
남양주,2023,1,2023-01,40,경기도,남양주시,홍유릉,520,남양주 2023_01.csv,역사관광,역사유적지
남양주,2023,1,2023-01,41,경기도,남양주시,어린이비전센터사계절썰매장,491,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,42,경기도,남양주시,고고랜드남양주점,485,남양주 2023_01.csv,레저스포츠,기타레저스포츠
남양주,2023,1,2023-01,43,경기도,남양주시,양주CC,482,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,44,경기도,남양주시,다산중앙공원,435,남양주 2023_01.csv,문화관광,도시공원
남양주,2023,1,2023-01,45,경기도,남양주시,블랙아이스링크장,398,남양주 2023_01.csv,레저스포츠,기타레저스포츠
남양주,2023,1,2023-01,46,경기도,남양주시,광해군묘,388,남양주 2023_01.csv,역사관광,역사유적지
남양주,2023,1,2023-01,46,경기도,남양주시,수진사,388,남양주 2023_01.csv,역사관광,종교성지
남양주,2023,1,2023-01,48,경기도,남양주시,비전힐스CC,365,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,49,경기도,남양주시,묘적사,359,남양주 2023_01.csv,역사관광,종교성지
남양주,2023,1,2023-01,50,경기도,남양주시,피아노폭포,355,남양주 2023_01.csv,자연관광,자연경관(산)
남양주,2023,1,2023-01,51,경기도,남양주시,한사랑풋살장제2구장남양주점,354,남양주 2023_01.csv,레저스포츠,기타레저스포츠
남양주,2023,1,2023-01,52,경기도,남양주시,마석민속5일장,341,남양주 2023_01.csv,쇼핑,시장
남양주,2023,1,2023-01,53,경기도,남양주시,한강뮤지엄,339,남양주 2023_01.csv,문화관광,전시시설
남양주,2023,1,2023-01,54,경기도,남양주시,지금푸른물센터축구장,335,남양주 2023_01.csv,문화관광,레저스포츠시설
남양주,2023,1,2023-01,55,경기도,남양주시,청학승마클럽,330,남양주 2023_01.csv,레저스포츠,육상레저스포츠
남양주,2023,1,2023-01,56,경기도,남양주시,별내어린이천문대,329,남양주 2023_01.csv,기타관광,기타관광
남양주,2023,1,2023-01,57,경기도,남양주시,사릉,319,남양주 2023_01.csv,역사관광,역사유적지
남양주,2023,1,2023-01,58,경기도,남양주시,오남체육공원,296,남양주 2023_01.csv,문화관광,도시공원
남양주,2023,1,2023-01,59,경기도,남양주시,플랩스타디움별내,295,남양주 2023_01.csv,레저스포츠,기타레저스포츠
남양주,2023,1,2023-01,60,경기도,남양주시,프라움악기박물관,289,남양주 2023_01.csv,문화관광,전시시설
남양주,2023,1,2023-01,61,경기도,남양주시,배양낚시터,288,남양주 2023_01.csv,레저스포츠,수상레저스포츠
남양주,2023,1,2023-01,62,경기도,남양주시,별내체육공원,278,남양주 2023_01.csv,문화관광,도시공원
남양주,2023,1,2023-01,63,경기도,남양주시,진건푸른물센터,273,남양주 2023_01.csv,문화관광,기타문화관광지
남양주,2023,1,2023-01,64,경기도,남양주시,먹골구장,271,남양주 2023_01.csv,문화관광,레저스포츠시설
