지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
동두천,2023,1,2023-01,1,경기도,동두천시,니지모리스튜디오,2737,동두천 2023_01.csv,기타관광,기타관광
동두천,2023,1,2023-01,2,경기도,동두천시,경기북부어린이박물관,1519,동두천 2023_01.csv,문화관광,전시시설
동두천,2023,1,2023-01,3,경기도,동두천시,소요산,1315,동두천 2023_01.csv,자연관광,자연경관(산)
동두천,2023,1,2023-01,4,경기도,동두천시,놀자숲,989,동두천 2023_01.csv,기타관광,기타관광
동두천,2023,1,2023-01,5,경기도,동두천시,동두천자연휴양림,828,동두천 2023_01.csv,자연관광,자연공원
동두천,2023,1,2023-01,6,경기도,동두천시,중앙시장,651,동두천 2023_01.csv,쇼핑,시장
동두천,2023,1,2023-01,7,경기도,동두천시,동두천큰시장,444,동두천 2023_01.csv,쇼핑,시장
동두천,2023,1,2023-01,8,경기도,동두천시,양키시장,339,동두천 2023_01.csv,쇼핑,시장
동두천,2023,1,2023-01,9,경기도,동두천시,놀자숲눈썰매장,326,동두천 2023_01.csv,레저스포츠,육상레저스포츠
동두천,2023,1,2023-01,10,경기도,동두천시,동두천터미널,295,동두천 2023_01.csv,기타관광,교통시설
동두천,2023,1,2023-01,11,경기도,동두천시,동광극장,277,동두천 2023_01.csv,문화관광,공연시설
동두천,2023,1,2023-01,12,경기도,동두천시,티클라우드CC,195,동두천 2023_01.csv,레저스포츠,육상레저스포츠
동두천,2023,1,2023-01,13,경기도,동두천시,CGV동두천,134,동두천 2023_01.csv,문화관광,공연시설
동두천,2023,1,2023-01,14,경기도,동두천시,소요산국민관광지,126,동두천 2023_01.csv,문화관광,복합관광시설
동두천,2023,1,2023-01,15,경기도,동두천시,소요별앤숲테마파크,118,동두천 2023_01.csv,문화관광,테마공원
동두천,2023,1,2023-01,16,경기도,동두천시,문화극장,115,동두천 2023_01.csv,문화관광,공연시설
동두천,2023,1,2023-01,17,경기도,동두천시,동두천시제일시장,46,동두천 2023_01.csv,쇼핑,시장
동두천,2023,1,2023-01,18,경기도,동두천시,자재암,44,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,19,경기도,동두천시,왕방계곡,42,동두천 2023_01.csv,자연관광,자연경관(산)
동두천,2023,1,2023-01,20,경기도,동두천시,자유수호평화박물관,34,동두천 2023_01.csv,문화관광,전시시설
동두천,2023,1,2023-01,21,경기도,동두천시,구 동두천시외버스터미널,27,동두천 2023_01.csv,기타관광,교통시설
동두천,2023,1,2023-01,22,경기도,동두천시,세아프라자,26,동두천 2023_01.csv,쇼핑,쇼핑몰
동두천,2023,1,2023-01,23,경기도,동두천시,탑동유원지,18,동두천 2023_01.csv,문화관광,복합관광시설
동두천,2023,1,2023-01,24,경기도,동두천시,쇠목계곡,17,동두천 2023_01.csv,자연관광,자연경관(산)
동두천,2023,1,2023-01,25,경기도,동두천시,보문사,16,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,26,경기도,동두천시,동두천 세아상가시장,12,동두천 2023_01.csv,쇼핑,시장
동두천,2023,1,2023-01,26,경기도,동두천시,동두천배드민턴전용구장,12,동두천 2023_01.csv,레저스포츠,기타레저스포츠
동두천,2023,1,2023-01,28,경기도,동두천시,소요산역,10,동두천 2023_01.csv,기타관광,교통시설
동두천,2023,1,2023-01,28,경기도,동두천시,원흥사,10,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,30,경기도,동두천시,덕수사,8,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,31,경기도,동두천시,약수암,7,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,31,경기도,동두천시,중화사,7,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,33,경기도,동두천시,무심정사,6,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,33,경기도,동두천시,배꼽다리,6,동두천 2023_01.csv,기타관광,기타관광
동두천,2023,1,2023-01,33,경기도,동두천시,영스포렉스,6,동두천 2023_01.csv,레저스포츠,기타레저스포츠
동두천,2023,1,2023-01,33,경기도,동두천시,못골생태공원,6,동두천 2023_01.csv,문화관광,도시공원
동두천,2023,1,2023-01,33,경기도,동두천시,반야사,6,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,33,경기도,동두천시,롤킹롤러스케이트장,6,동두천 2023_01.csv,레저스포츠,육상레저스포츠
동두천,2023,1,2023-01,39,경기도,동두천시,청량사,5,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,40,경기도,동두천시,신흥중고야구장,4,동두천 2023_01.csv,문화관광,레저스포츠시설
동두천,2023,1,2023-01,41,경기도,동두천시,턱거리마을박물관1호점,3,동두천 2023_01.csv,문화관광,전시시설
동두천,2023,1,2023-01,41,경기도,동두천시,소요산야외음악당,3,동두천 2023_01.csv,문화관광,공연시설
동두천,2023,1,2023-01,41,경기도,동두천시,공설시장,3,동두천 2023_01.csv,쇼핑,시장
동두천,2023,1,2023-01,41,경기도,동두천시,시민회관공연장,3,동두천 2023_01.csv,문화관광,공연시설
동두천,2023,1,2023-01,41,경기도,동두천시,관음사,3,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,41,경기도,동두천시,서광사,3,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,41,경기도,동두천시,강변공원,3,동두천 2023_01.csv,문화관광,도시공원
동두천,2023,1,2023-01,41,경기도,동두천시,호림공방,3,동두천 2023_01.csv,문화관광,기타문화관광지
동두천,2023,1,2023-01,41,경기도,동두천시,대도사,3,동두천 2023_01.csv,역사관광,종교성지
동두천,2023,1,2023-01,41,경기도,동두천시,해룡산,3,동두천 2023_01.csv,자연관광,자연경관(산)
동두천,2023,1,2023-01,41,경기도,동두천시,소요산어린이공원,3,동두천 2023_01.csv,문화관광,도시공원
동두천,2023,2,2023-02,1,경기도,동두천시,니지모리스튜디오,2728,동두천 2023_02.csv,기타관광,기타관광
동두천,2023,2,2023-02,2,경기도,동두천시,경기북부어린이박물관,1875,동두천 2023_02.csv,문화관광,전시시설
동두천,2023,2,2023-02,3,경기도,동두천시,소요산,1577,동두천 2023_02.csv,자연관광,자연경관(산)
