지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
양주,2023,1,2023-01,1,경기도,양주시,LF스퀘어양주점,8593,양주 2023_01.csv,쇼핑,쇼핑몰
양주,2023,1,2023-01,2,경기도,양주시,양주아트밸리눈썰매장,4069,양주 2023_01.csv,레저스포츠,육상레저스포츠
양주,2023,1,2023-01,3,경기도,양주시,CGV양주옥정,3038,양주 2023_01.csv,문화관광,공연시설
양주,2023,1,2023-01,4,경기도,양주시,두리랜드,2021,양주 2023_01.csv,문화관광,테마공원
양주,2023,1,2023-01,5,경기도,양주시,옥정중앙공원,1509,양주 2023_01.csv,문화관광,도시공원
양주,2023,1,2023-01,6,경기도,양주시,레이크우드CC,1415,양주 2023_01.csv,레저스포츠,육상레저스포츠
양주,2023,1,2023-01,7,경기도,양주시,장흥관광지,1399,양주 2023_01.csv,문화관광,복합관광시설
양주,2023,1,2023-01,8,경기도,양주시,송추계곡,1388,양주 2023_01.csv,자연관광,자연경관(산)
양주,2023,1,2023-01,9,경기도,양주시,조명박물관,1235,양주 2023_01.csv,문화관광,전시시설
양주,2023,1,2023-01,10,경기도,양주시,청련사,932,양주 2023_01.csv,역사관광,종교성지
양주,2023,1,2023-01,11,경기도,양주시,회암사지박물관,906,양주 2023_01.csv,문화관광,전시시설
양주,2023,1,2023-01,12,경기도,양주시,메가파크양주,845,양주 2023_01.csv,문화관광,테마공원
양주,2023,1,2023-01,13,경기도,양주시,가래비장터,808,양주 2023_01.csv,쇼핑,시장
양주,2023,1,2023-01,14,경기도,양주시,기산저수지,783,양주 2023_01.csv,자연관광,자연경관(하천/해양)
양주,2023,1,2023-01,15,경기도,양주시,메가박스양주,760,양주 2023_01.csv,문화관광,공연시설
양주,2023,1,2023-01,16,경기도,양주시,송추역,724,양주 2023_01.csv,기타관광,교통시설
양주,2023,1,2023-01,17,경기도,양주시,장흥자동차극장,686,양주 2023_01.csv,문화관광,공연시설
양주,2023,1,2023-01,18,경기도,양주시,롯데시네마양주고읍 휴점,611,양주 2023_01.csv,문화관광,공연시설
양주,2023,1,2023-01,19,경기도,양주시,송추CC,535,양주 2023_01.csv,레저스포츠,육상레저스포츠
양주,2023,1,2023-01,20,경기도,양주시,가나아트파크,523,양주 2023_01.csv,문화관광,전시시설
양주,2023,1,2023-01,21,경기도,양주시,양주시립장욱진미술관,522,양주 2023_01.csv,문화관광,전시시설
양주,2023,1,2023-01,22,경기도,양주시,일영유원지,496,양주 2023_01.csv,문화관광,복합관광시설
양주,2023,1,2023-01,23,경기도,양주시,독바위공원,480,양주 2023_01.csv,문화관광,도시공원
양주,2023,1,2023-01,24,경기도,양주시,양주팬텀실내풋살장,474,양주 2023_01.csv,레저스포츠,기타레저스포츠
