지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
연천,2023,1,2023-01,1,경기도,연천군,전곡역,4402,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,2,경기도,연천군,재인폭포,1579,연천 2023_01.csv,자연관광,자연경관(산)
연천,2023,1,2023-01,3,경기도,연천군,전곡터미널,1166,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,4,경기도,연천군,대광리역공사중(2023년10월개통예정),1091,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,5,경기도,연천군,연천역,969,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,6,경기도,연천군,연천당포성,747,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,7,경기도,연천군,고대산자연휴양림,595,연천 2023_01.csv,자연관광,자연공원
연천,2023,1,2023-01,8,경기도,연천군,백학저수지,593,연천 2023_01.csv,자연관광,자연경관(하천/해양)
연천,2023,1,2023-01,9,경기도,연천군,전곡선사박물관,552,연천 2023_01.csv,문화관광,전시시설
연천,2023,1,2023-01,10,경기도,연천군,스튜디오139,541,연천 2023_01.csv,문화관광,기타문화관광지
연천,2023,1,2023-01,11,경기도,연천군,연천호로고루,505,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,12,경기도,연천군,동막골유황천,503,연천 2023_01.csv,체험관광,웰니스관광
연천,2023,1,2023-01,13,경기도,연천군,전곡전통시장,473,연천 2023_01.csv,쇼핑,시장
연천,2023,1,2023-01,14,경기도,연천군,자유로CC,463,연천 2023_01.csv,레저스포츠,육상레저스포츠
연천,2023,1,2023-01,15,경기도,연천군,초성리역폐역,409,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,16,경기도,연천군,역고드름,381,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,17,경기도,연천군,전곡낚시터,357,연천 2023_01.csv,레저스포츠,수상레저스포츠
연천,2023,1,2023-01,17,경기도,연천군,연천고랑포구역사공원,357,연천 2023_01.csv,문화관광,도시공원
연천,2023,1,2023-01,19,경기도,연천군,신탄리역,351,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,20,경기도,연천군,연천전곡리유적,348,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,21,경기도,연천군,신망리역폐역,337,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,22,경기도,연천군,열쇠전망대,321,연천 2023_01.csv,문화관광,랜드마크관광
연천,2023,1,2023-01,23,경기도,연천군,연천경순왕릉,315,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,24,경기도,연천군,한탄강관광지,295,연천 2023_01.csv,문화관광,복합관광시설
연천,2023,1,2023-01,25,경기도,연천군,태풍전망대,290,연천 2023_01.csv,문화관광,랜드마크관광
연천,2023,1,2023-01,26,경기도,연천군,스튜디오 포시즌,262,연천 2023_01.csv,문화관광,기타문화관광지
연천,2023,1,2023-01,27,경기도,연천군,허브빌리지,233,연천 2023_01.csv,체험관광,농/산/어촌체험
연천,2023,1,2023-01,27,경기도,연천군,지오낚시터,233,연천 2023_01.csv,레저스포츠,수상레저스포츠
연천,2023,1,2023-01,29,경기도,연천군,임진강주상절리,228,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,30,경기도,연천군,숭의전,207,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,31,경기도,연천군,들꽃가람농장,197,연천 2023_01.csv,체험관광,농/산/어촌체험
연천,2023,1,2023-01,32,경기도,연천군,연천군청소년수련관,154,연천 2023_01.csv,레저스포츠,육상레저스포츠
연천,2023,1,2023-01,33,경기도,연천군,수불사,113,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,34,경기도,연천군,연천공영버스터미널,111,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,35,경기도,연천군,백학지낚시터,82,연천 2023_01.csv,레저스포츠,수상레저스포츠
연천,2023,1,2023-01,36,경기도,연천군,모아베리교육농장,80,연천 2023_01.csv,체험관광,농/산/어촌체험
연천,2023,1,2023-01,37,경기도,연천군,연천수레울아트홀,79,연천 2023_01.csv,문화관광,공연시설
연천,2023,1,2023-01,38,경기도,연천군,한탄강어린이교통랜드,74,연천 2023_01.csv,문화관광,도시공원
연천,2023,1,2023-01,39,경기도,연천군,동막골유원지,64,연천 2023_01.csv,문화관광,복합관광시설
연천,2023,1,2023-01,40,경기도,연천군,두루미테마파크,63,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,41,경기도,연천군,원심원사,60,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,42,경기도,연천군,상승OP전망대,58,연천 2023_01.csv,문화관광,랜드마크관광
연천,2023,1,2023-01,43,경기도,연천군,연천군 신서면 소목개마을,55,연천 2023_01.csv,문화관광,도시/지역문화관광
연천,2023,1,2023-01,44,경기도,연천군,임진강댑싸리공원,53,연천 2023_01.csv,문화관광,도시공원
연천,2023,1,2023-01,45,경기도,연천군,한탄강관광지축구장,48,연천 2023_01.csv,문화관광,레저스포츠시설
연천,2023,1,2023-01,45,경기도,연천군,연천승마공원,48,연천 2023_01.csv,레저스포츠,육상레저스포츠
연천,2023,1,2023-01,45,경기도,연천군,유성미디어촬영소,48,연천 2023_01.csv,문화관광,기타문화관광지
연천,2023,1,2023-01,48,경기도,연천군,고대산,47,연천 2023_01.csv,자연관광,자연경관(산)
연천,2023,1,2023-01,49,경기도,연천군,재인폭포출렁다리,45,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,50,경기도,연천군,백학낚시터,44,연천 2023_01.csv,레저스포츠,수상레저스포츠
연천,2023,1,2023-01,51,경기도,연천군,그리팅맨,43,연천 2023_01.csv,역사관광,역사유물
연천,2023,1,2023-01,52,경기도,연천군,삼화리낚시터,39,연천 2023_01.csv,레저스포츠,수상레저스포츠
연천,2023,1,2023-01,53,경기도,연천군,연천로하스파크,37,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,54,경기도,연천군,열두개울계곡,28,연천 2023_01.csv,자연관광,자연경관(산)
연천,2023,1,2023-01,55,경기도,연천군,연천오일장,27,연천 2023_01.csv,쇼핑,시장
연천,2023,1,2023-01,56,경기도,연천군,한탄강역폐역,24,연천 2023_01.csv,기타관광,교통시설
연천,2023,1,2023-01,57,경기도,연천군,좌상바위,22,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,57,경기도,연천군,대화사,22,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,59,경기도,연천군,정발장군묘,21,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,60,경기도,연천군,현정사,19,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,61,경기도,연천군,한국수자원공사한탄강댐물문화관,17,연천 2023_01.csv,문화관광,전시시설
연천,2023,1,2023-01,62,경기도,연천군,능혜사,14,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,63,경기도,연천군,고랑포구,13,연천 2023_01.csv,자연관광,자연경관(하천/해양)
연천,2023,1,2023-01,63,경기도,연천군,동막계곡,13,연천 2023_01.csv,자연관광,자연경관(산)
연천,2023,1,2023-01,65,경기도,연천군,연천파크골프장,12,연천 2023_01.csv,레저스포츠,육상레저스포츠
연천,2023,1,2023-01,65,경기도,연천군,교통안전체험전시관,12,연천 2023_01.csv,문화관광,전시시설
연천,2023,1,2023-01,67,경기도,연천군,석장리미술관조각공원,10,연천 2023_01.csv,문화관광,도시공원
연천,2023,1,2023-01,67,경기도,연천군,연천숭의전지,10,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,69,경기도,연천군,법성사,9,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,70,경기도,연천군,사랑이네농원,8,연천 2023_01.csv,체험관광,농/산/어촌체험
연천,2023,1,2023-01,71,경기도,연천군,종자와시인 박물관,7,연천 2023_01.csv,문화관광,전시시설
연천,2023,1,2023-01,71,경기도,연천군,너나들이노리파크전곡점,7,연천 2023_01.csv,문화관광,테마공원
연천,2023,1,2023-01,71,경기도,연천군,재인팜,7,연천 2023_01.csv,체험관광,농/산/어촌체험
연천,2023,1,2023-01,71,경기도,연천군,아미사,7,연천 2023_01.csv,역사관광,종교성지
연천,2023,1,2023-01,75,경기도,연천군,스튜디오330,6,연천 2023_01.csv,문화관광,기타문화관광지
연천,2023,1,2023-01,75,경기도,연천군,임진물새롬랜드,6,연천 2023_01.csv,문화관광,도시공원
연천,2023,1,2023-01,75,경기도,연천군,연천역급수탑,6,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,75,경기도,연천군,안일농장,6,연천 2023_01.csv,체험관광,농/산/어촌체험
연천,2023,1,2023-01,75,경기도,연천군,연천장남통일바라기축제,6,연천 2023_01.csv,문화관광,기타문화관광지
연천,2023,1,2023-01,80,경기도,연천군,물바위유원지,5,연천 2023_01.csv,문화관광,복합관광시설
연천,2023,1,2023-01,80,경기도,연천군,박진장군묘,5,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,80,경기도,연천군,차탄천주상절리,5,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,83,경기도,연천군,망곡산둘레길,4,연천 2023_01.csv,기타관광,기타관광
연천,2023,1,2023-01,83,경기도,연천군,기황후묘,4,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,83,경기도,연천군,연천향교,4,연천 2023_01.csv,역사관광,역사유적지
연천,2023,1,2023-01,83,경기도,연천군,연천유엔군화장장시설,4,연천 2023_01.csv,기타관광,기타관광
