지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
의정부,2023,1,2023-01,1,경기도,의정부시,신세계백화점의정부점,22806,의정부 2023_01.csv,쇼핑,백화점
의정부,2023,1,2023-01,2,경기도,의정부시,의정부제일시장,8477,의정부 2023_01.csv,쇼핑,시장
의정부,2023,1,2023-01,3,경기도,의정부시,의정부버스터미널,4574,의정부 2023_01.csv,기타관광,교통시설
의정부,2023,1,2023-01,4,경기도,의정부시,롯데시네마의정부민락,3503,의정부 2023_01.csv,문화관광,공연시설
의정부,2023,1,2023-01,5,경기도,의정부시,메가박스의정부민락,2418,의정부 2023_01.csv,문화관광,공연시설
의정부,2023,1,2023-01,6,경기도,의정부시,의정부실내빙상장,2395,의정부 2023_01.csv,레저스포츠,육상레저스포츠
의정부,2023,1,2023-01,7,경기도,의정부시,CGV의정부태흥,1987,의정부 2023_01.csv,문화관광,공연시설
의정부,2023,1,2023-01,8,경기도,의정부시,의정부예술의전당,1975,의정부 2023_01.csv,문화관광,공연시설
의정부,2023,1,2023-01,9,경기도,의정부시,CGV의정부,1636,의정부 2023_01.csv,문화관광,공연시설
의정부,2023,1,2023-01,10,경기도,의정부시,고고다이노키즈카페민락점,974,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,11,경기도,의정부시,와글아이의정부점,861,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,12,경기도,의정부시,신곡실내배드민턴장,701,의정부 2023_01.csv,레저스포츠,기타레저스포츠
의정부,2023,1,2023-01,13,경기도,의정부시,낙양물사랑공원,673,의정부 2023_01.csv,문화관광,도시공원
의정부,2023,1,2023-01,14,경기도,의정부시,의정부시청소년수련관,665,의정부 2023_01.csv,레저스포츠,육상레저스포츠
의정부,2023,1,2023-01,15,경기도,의정부시,태영프라자,590,의정부 2023_01.csv,쇼핑,쇼핑몰
의정부,2023,1,2023-01,16,경기도,의정부시,렛츠런CCC의정부지점,507,의정부 2023_01.csv,레저스포츠,육상레저스포츠
의정부,2023,1,2023-01,17,경기도,의정부시,송산배수지체육시설,503,의정부 2023_01.csv,문화관광,도시공원
의정부,2023,1,2023-01,18,경기도,의정부시,직동근린공원,456,의정부 2023_01.csv,문화관광,도시공원
의정부,2023,1,2023-01,19,경기도,의정부시,점프스카이민락점,376,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,20,경기도,의정부시,히어로키즈파크의정부지점,331,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,21,경기도,의정부시,루나루즈키즈카페,285,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,22,경기도,의정부시,고고롤러스케이트장,246,의정부 2023_01.csv,레저스포츠,육상레저스포츠
의정부,2023,1,2023-01,23,경기도,의정부시,의정부가구거리,211,의정부 2023_01.csv,쇼핑,기타쇼핑시설
의정부,2023,1,2023-01,24,경기도,의정부시,타요키즈카페의정부민락점,206,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,25,경기도,의정부시,헬로방방민락점,196,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,26,경기도,의정부시,석림사,190,의정부 2023_01.csv,역사관광,종교성지
의정부,2023,1,2023-01,27,경기도,의정부시,서울승마클럽,186,의정부 2023_01.csv,레저스포츠,육상레저스포츠
의정부,2023,1,2023-01,28,경기도,의정부시,활기체육공원,179,의정부 2023_01.csv,문화관광,도시공원
의정부,2023,1,2023-01,29,경기도,의정부시,어울놀이패밀리카페,176,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,30,경기도,의정부시,회룡사,171,의정부 2023_01.csv,역사관광,종교성지
의정부,2023,1,2023-01,31,경기도,의정부시,자일낚시터,152,의정부 2023_01.csv,레저스포츠,수상레저스포츠
의정부,2023,1,2023-01,32,경기도,의정부시,서영빌딩서관,139,의정부 2023_01.csv,문화관광,기타문화관광지
의정부,2023,1,2023-01,33,경기도,의정부시,호암사,124,의정부 2023_01.csv,역사관광,종교성지
의정부,2023,1,2023-01,34,경기도,의정부시,천보탁구장,123,의정부 2023_01.csv,레저스포츠,기타레저스포츠
의정부,2023,1,2023-01,35,경기도,의정부시,송산사지근린공원,122,의정부 2023_01.csv,문화관광,도시공원
의정부,2023,1,2023-01,36,경기도,의정부시,의정부청과야채시장,117,의정부 2023_01.csv,쇼핑,시장
의정부,2023,1,2023-01,37,경기도,의정부시,경륜경정의정부지점,111,의정부 2023_01.csv,레저스포츠,육상레저스포츠
의정부,2023,1,2023-01,38,경기도,의정부시,역전근린공원,105,의정부 2023_01.csv,문화관광,도시공원
의정부,2023,1,2023-01,39,경기도,의정부시,알쏭달쏭키즈드로잉,103,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,40,경기도,의정부시,큐리키즈카페의정부점,100,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,41,경기도,의정부시,곤제구장,89,의정부 2023_01.csv,문화관광,레저스포츠시설
의정부,2023,1,2023-01,42,경기도,의정부시,하랑키즈카페,87,의정부 2023_01.csv,문화관광,테마공원
의정부,2023,1,2023-01,43,경기도,의정부시,허니비풋살파크,84,의정부 2023_01.csv,문화관광,레저스포츠시설
