지역,연도,월,연월,순위,광역시/도,시/군/구,관광지명,검색건수,원본파일,중분류 카테고리,소분류 카테고리
포천,2023,1,2023-01,1,경기도,포천시,산정호수,8325,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,2,경기도,포천시,고모저수지,3685,포천 2023_01.csv,자연관광,자연경관(하천/해양)
포천,2023,1,2023-01,3,경기도,포천시,포천아트밸리,3374,포천 2023_01.csv,문화관광,공연시설
포천,2023,1,2023-01,3,경기도,포천시,일동시외버스터미널,3374,포천 2023_01.csv,기타관광,교통시설
포천,2023,1,2023-01,5,경기도,포천시,국립수목원,3190,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,6,경기도,포천시,제일유황온천,2914,포천 2023_01.csv,체험관광,웰니스관광
포천,2023,1,2023-01,7,경기도,포천시,허브아일랜드,2878,포천 2023_01.csv,체험관광,농/산/어촌체험
포천,2023,1,2023-01,8,경기도,포천시,신북온천스프링폴,2864,포천 2023_01.csv,체험관광,웰니스관광
포천,2023,1,2023-01,9,경기도,포천시,CGV포천,1755,포천 2023_01.csv,문화관광,공연시설
포천,2023,1,2023-01,10,경기도,포천시,백운계곡,1388,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,11,경기도,포천시,비둘기낭폭포,1319,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,12,경기도,포천시,송우시외버스터미널,1285,포천 2023_01.csv,기타관광,교통시설
포천,2023,1,2023-01,13,경기도,포천시,호국금강사,1051,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,14,경기도,포천시,베어스타운스키장휴업중,1026,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,15,경기도,포천시,포천한탄강하늘다리,1010,포천 2023_01.csv,기타관광,기타관광
포천,2023,1,2023-01,16,경기도,포천시,포천시외버스터미널,913,포천 2023_01.csv,기타관광,교통시설
포천,2023,1,2023-01,17,경기도,포천시,한탄강주상절리길1코스,870,포천 2023_01.csv,레저스포츠,기타레저스포츠
포천,2023,1,2023-01,18,경기도,포천시,참밸리컨트리클럽,854,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,19,경기도,포천시,도성사,813,포천 2023_01.csv,역사관광,종교성지
포천,2023,1,2023-01,20,경기도,포천시,축석고개,599,포천 2023_01.csv,자연관광,자연경관(산)
포천,2023,1,2023-01,21,경기도,포천시,주파크,509,포천 2023_01.csv,문화관광,테마공원
포천,2023,1,2023-01,22,경기도,포천시,포천힐스CC,433,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,23,경기도,포천시,포천반월아트홀,424,포천 2023_01.csv,문화관광,공연시설
포천,2023,1,2023-01,24,경기도,포천시,운악산자연휴양림,417,포천 2023_01.csv,자연관광,자연공원
포천,2023,1,2023-01,25,경기도,포천시,푸른솔GC포천,409,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,26,경기도,포천시,산사원,378,포천 2023_01.csv,문화관광,전시시설
포천,2023,1,2023-01,27,경기도,포천시,베어크리크GC,369,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,27,경기도,포천시,서운동산,369,포천 2023_01.csv,문화관광,복합관광시설
포천,2023,1,2023-01,29,경기도,포천시,천보산자연휴양림,329,포천 2023_01.csv,자연관광,자연공원
포천,2023,1,2023-01,30,경기도,포천시,수목원낚시터,307,포천 2023_01.csv,레저스포츠,수상레저스포츠
포천,2023,1,2023-01,31,경기도,포천시,샴발라CC,300,포천 2023_01.csv,레저스포츠,육상레저스포츠
포천,2023,1,2023-01,32,경기도,포천시,포레스트힐CC,295,포천 2023_01.csv,레저스포츠,육상레저스포츠
